City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port douglas,-16.4833,145.4667,72.5,79,27,8.19,AU,1697373290
1,port-aux-francais,-49.35,70.2167,34.29,73,42,28.54,TF,1697373290
2,ola,59.5833,151.2833,34.41,69,100,4.56,RU,1697373291
3,kokemaki,61.2565,22.3564,42.58,69,30,12.41,FI,1697373164
4,bethel,41.3712,-73.414,50.52,84,40,1.99,US,1697373291
5,rongelap,11.1635,166.8941,83.1,79,91,13.06,MH,1697373292
6,tsiombe,-25.3,45.4833,78.1,56,98,11.32,MG,1697373292
7,yellowknife,62.456,-114.3525,46.42,96,0,10.36,CA,1697373292
8,udachny,66.4167,112.4,19.45,85,66,5.82,RU,1697373293
9,carnarvon,-24.8667,113.6333,78.3,55,39,17.98,AU,1697373293
10,the dalles,45.5946,-121.1787,56.62,94,100,3.44,US,1697373293
11,margaret river,-33.95,115.0667,63.73,61,100,7.47,AU,1697373293
12,broken hill,-31.95,141.4333,61.36,52,3,18.66,AU,1697373294
13,itamaraca,-7.7478,-34.8256,84.25,64,84,15.55,BR,1697373294
14,aasiaat,68.7098,-52.8699,27.64,73,100,14.43,GL,1697373294
15,hermanus,-34.4187,19.2345,69.19,56,0,20.54,ZA,1697373295
16,jamestown,42.097,-79.2353,47.79,89,100,10.36,US,1697372875
17,ariquemes,-9.9133,-63.0408,94.48,44,17,1.14,BR,1697373261
18,adamstown,-25.066,-130.1015,69.73,83,0,2.21,PN,1697373295
19,qaqortoq,60.7167,-46.0333,39.38,70,100,6.22,GL,1697373296
20,san-pedro,4.7485,-6.6363,79.99,84,100,8.37,CI,1697373296
21,edinburgh of the seven seas,-37.0676,-12.3116,58.55,93,100,36.28,SH,1697373296
22,lihue,21.9789,-159.3672,74.44,82,20,5.75,US,1697373154
23,ilulissat,69.2167,-51.1,23.02,93,100,14.97,GL,1697373297
24,arkhangel'sk,64.5401,40.5433,45.12,93,100,13.38,RU,1697373297
25,serenje,-13.2325,30.2352,91.76,18,79,9.89,ZM,1697373297
26,afaahiti,-17.75,-149.2833,73.27,78,39,8.68,PF,1697373298
27,aral,40.5156,81.2636,67.1,20,98,6.51,CN,1697373298
28,toba tek singh,30.9743,72.4827,86.43,30,9,6.17,PK,1697373298
29,lebu,-37.6167,-73.65,50.81,72,97,16.69,CL,1697373144
30,talnakh,69.4865,88.3972,22.21,87,100,2.17,RU,1697373204
31,invercargill,-46.4,168.35,40.01,88,76,10.0,NZ,1697373010
32,sambava,-14.2667,50.1667,80.11,73,15,9.93,MG,1697373299
33,new norfolk,-42.7826,147.0587,45.72,92,96,2.62,AU,1697373048
34,hawaiian paradise park,19.5933,-154.9731,72.9,82,75,6.91,US,1697373300
35,punta arenas,-53.15,-70.9167,44.71,76,20,25.32,CL,1697373300
36,waitangi,-43.9535,-176.5597,57.81,87,34,10.0,NZ,1697373300
37,kerikeri,-35.2268,173.9474,51.91,89,20,3.4,NZ,1697373301
38,martuk,50.7475,56.5056,57.54,64,31,9.82,KZ,1697373301
